exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss
77,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 08:41:58",960.495,14.336,0.514,0.8872,0.8568
78,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 09:08:56",1017.369,14.329,0.515,0.907,0.7469
79,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 09:34:49",973.836,14.321,0.516,0.9129,0.7296
80,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 09:57:15",843.205,14.292,0.515,0.8911,0.8045
81,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 10:23:03",973.485,14.316,0.516,0.9142,0.7331
82,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 10:42:54",742.641,14.282,0.517,0.894,0.8361
83,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 11:05:43",857.589,14.293,0.516,0.9101,0.7483
84,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 11:36:30",1162.874,14.356,0.518,0.9182,0.725
85,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 12:01:39",947.745,14.36,0.517,0.9134,0.7328
86,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 12:31:16",1118.954,14.346,0.516,0.9128,0.7305
87,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 12:57:57",1003.776,14.34,0.517,0.915,0.7505
88,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 13:25:22",1032.472,14.34,0.516,0.9071,0.7491
89,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 13:47:34",832.369,14.351,0.516,0.9039,0.7551
90,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 14:10:51",874.782,14.341,0.517,0.9024,0.7764
91,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 14:38:09",1030.508,14.313,0.516,0.9138,0.7329
92,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 15:01:06",859.019,14.317,0.515,0.9084,0.7473
93,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 15:31:53",1160.833,14.331,0.516,0.9169,0.7214
94,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 15:54:13",837.576,14.441,0.517,0.909,0.744
95,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 16:24:20",1135.822,14.377,0.515,0.9088,0.7319
96,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 16:59:33",1334.123,14.345,0.513,0.9158,0.7196
97,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 17:28:07",1076.341,14.351,0.514,0.9127,0.7285
98,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 17:50:14",830.918,14.326,0.513,0.9095,0.7472
99,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 18:25:48",1346.229,14.322,0.512,0.9,0.8229
