exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss,last_test_time_consumption
148,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 23:11:29",973.036,14.309,0.517,0.9113,0.7398,
149,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 23:31:51",759.185,14.324,0.519,0.9127,0.735,
150,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 23:55:09",873.403,14.318,0.518,0.9081,0.7461,
151,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 00:22:29",1030.531,14.313,0.517,0.9061,0.7456,
152,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 00:53:12",1160.195,14.323,0.517,0.9178,0.7188,
153,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 01:22:43",1116.367,14.312,0.516,0.9167,0.7295,
154,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 01:41:04",687.288,14.318,0.515,0.9032,0.7558,
155,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 01:58:00",630.556,14.331,0.516,0.9072,0.7468,
156,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 02:26:06",1060.037,14.325,0.517,0.9132,0.7297,
157,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 02:50:50",930.828,14.32,0.516,0.909,0.7386,
158,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 03:24:52",1288.053,14.312,0.514,0.9191,0.736,
159,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 03:54:47",1131.28,14.32,0.517,0.9133,0.7315,
160,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 04:29:38",1317.327,14.319,0.519,0.9214,0.728,
161,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 04:55:54",988.064,14.32,0.517,0.901,0.7698,
162,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 05:22:11",988.786,14.33,0.519,0.9098,0.7548,
